,PostId,Body,ParentId
0,36094230,"You could embed sort.IntSlice in your custom type:

type MySlice struct {
    sort.IntSlice
}

func (ms MySlice) ReverseSort() {
    sort.Sort(sort.Reverse(ms))
}

func main() {
    t2 := MySlice{sort.IntSlice{5, 4, 3, 1}}
    t2.ReverseSort()
    fmt.Println(t2)
}


(On the Go Playgroud.)

Of course, that makes constructing objects more difficult.



A post on golang-nuts discusses this:


  You ""cannot define new methods on non-local type[s],"" by design.
  
  The best practice is to embed the non-local type into your own own
  local type, and extend it. Type-aliasing (type MyFoo Foo) creates a
  type that is (more-or-less) completely distinct from the original. I'm
  not aware of a straightforward/best-practice way to use type
  assertions to get around that.
  
  
  Peter Bourgon
  


And:


  
    A type's methods are in the package that defines it. 
  
  
  This is a logical coherence. It is a compilation virtue. It is seen as
  an important benefit for large-scale maintenance and multi-person
  development projects.
  
  The power you speak of is not lost, though, because you can embed the
  base type in a new type as described above and add whatever you want
  to it, in the kind of functional ""is a"" that you seek, with the only
  caveat that your new type must have a new name, and all of its fields
  and methods must be in its new package.
  
  
  Michael Jones
  

",36094060
1,1736012,"I haven't written a large enough project yet to require a build system, so a simple build.sh is sufficient.

You can use $GOROOT, $GOARCH and $GOOS to determine what you need:

jurily@jurily ~ $ env | grep GO
GOARCH=amd64
GOROOT=/home/jurily/go
GOOS=linux


If it's enough for Go, it's enough for me.
",1735993
2,1736202,"I've been using scons; this is an example SConstruct file:

archs = {'amd64': '6', '386': '8', 'arm': '5',}

def gc(source, target, env, for_signature):
    targets = target[0]
    sources = ' '.join(str(s) for s in source)
    flags = ''
    for include in env.get('GOINCLUDE', []):
        flags += '-I %s ' % (include)
    return '%s -o %s %s %s' % (env['GOCOMPILER'], targets, flags, sources)

def ld(source, target, env, for_signature):
    targets = target[0]
    sources = ' '.join(str(s) for s in source)
    return '%s -o %s %s' % (env['GOLINKER'], targets, sources)

def _go_object_suffix(env, sources):
    return ""."" + archs[env['ENV']['GOARCH']]

def _go_program_prefix(env, sources):
    return env['PROGPREFIX']

def _go_program_suffix(env, sources):
    return env['PROGSUFFIX']

go_compiler = Builder(generator=gc,
                      suffix=_go_object_suffix,
                      src_suffix='.go',)
go_linker = Builder(generator=ld,
                    prefix=_go_program_prefix,
                    suffix=_go_program_suffix,)

# Create environment
import os
env = Environment(BUILDERS={'Go': go_compiler, 'GoProgram': go_linker},
                  ENV=os.environ,)
arch_prefix = archs[os.environ['GOARCH']]
env.SetDefault(GOCOMPILER=os.path.join(os.environ['GOBIN'], arch_prefix + 'g'))
env.SetDefault(GOLINKER=os.path.join(os.environ['GOBIN'], arch_prefix + 'l'))
# Build programs
# Modify this to suit your program
main_package = env.Go(target='main', source='main.go')
program = env.GoProgram(target='program', source=[main_package])

",1735993
3,1989788,"I've built my own little tool called gobuild for that, and am still working on it. It should be able to compile most programs/libs that don't interfacing with C code without having to write any build-scripts/makefiles.
",1735993
4,11753827,"You can find in Go Utils and Tools all the available build tools for Go.

But more of them are superseded by the ""go build"" command and the lack of Makefile with Go 1.
See ""The go tool"" blog post.


  Go packages don't have any build configuration at all. There's no makefiles, no descriptions of dependencies etc.
  How it works then? Everything is retrieved from the source code. To let the magic happen one thing has to be done first.


Even if Makefile can still be used, for pure Go source code, they can be removed (like in this code review for instance)
",1735993
5,40142237,"First, the bitmap field is a *image.Image, so it's of the same type and you don't need to convert it when you could just dereference it.

(*img.Bitmap).Bounds()


However, image.Image is an interface. A pointer to an interface is almost always a programming error.

Change your struct definition to

type Image struct {
    Src    string
    Title  string
    Width  int
    Height int
    Index  int
    Bitmap image.Image
}


and you can then just call img.Bitmap.Bounds() directly
",40142146
6,25025558,"Go is not python, you should properly check for args before you use it:

func main() {
    if len(os.Args) != 2 {
         fmt.Printf(""usage: %s [filename]\n"", os.Args[0])
         os.Exit(1)
    }
    file, err := os.Open(os.Args[1])
    if err != nil {
        log.Fatal(err)
    }
    fmt.Printf(""%s"", file)
}

",25025467
7,25025559,"First: You wouldn't want to do this. Try-catch-style error handling is no error handling. In Go you would check len(os.Args) first and access element 1 only if present.

For the rare cases you need to catch panics (and your case is not one of them!) use defer in combination with recover. See http://golang.org/doc/effective_go.html#recover
",25025467
8,25025563,"A panicking program can recover with the builtin recover() function:


  The recover function allows a program to manage behavior of a panicking goroutine. Suppose a function G defers a function D that calls recover and a panic occurs in a function on the same goroutine in which G is executing. When the running of deferred functions reaches D, the return value of D's call to recover will be the value passed to the call of panic. If D returns normally, without starting a new panic, the panicking sequence stops. In that case, the state of functions called between G and the call to panic is discarded, and normal execution resumes. Any functions deferred by G before D are then run and G's execution terminates by returning to its caller.
  
  The return value of recover is nil if any of the following conditions holds:
  
  
  panic's argument was nil;
  the goroutine is not panicking;
  recover was not called directly by a deferred function.
  


Here is an example of how to use this:

// access buf[i] and return an error if that fails.
func PanicExample(buf []int, i int) (x int, err error) {
    defer func() {
        // recover from panic if one occured. Set err to nil otherwise.
        if (recover() != nil) {
            err = errors.New(""array index out of bounds"")
        }
    }()

    x = buf[i]
}


Notice that more often than not, panicking is not the right solution. The Go paradigm is to check for errors explicitly. A program should only panic if the circumstances under which it panics do not happen during ordinary program executing. For instance, not being able to open a file is something that can happen and should not cause a panic while running out of memory is worth a panic. Nevertheless, this mechanism exists to be able to catch even these cases and perhaps shut down gracefully.
",25025467
9,28444392,"Some Golang official packages use panic/defer+recover as throw/catch, but only when they need to unwind a large call stack. In Golang's json package using panic/defer+recover as throw/catch is the most elegant solution.

from http://blog.golang.org/defer-panic-and-recover


  For a real-world example of panic and recover, see the json package from the Go standard library. It decodes JSON-encoded data with a set of recursive functions. When malformed JSON is encountered, the parser calls panic to unwind the stack to the top-level function call, which recovers from the panic and returns an appropriate error value (see the 'error' and 'unmarshal' methods of the decodeState type in decode.go).


Search for d.error(
at http://golang.org/src/encoding/json/decode.go

In your example the ""idiomatic"" solution is to check the parameters before using them, as other solutions have pointed.

But, if you want/need to catch anything you can do:

package main

import (
    ""fmt""
    ""os""
)

func main() {

    defer func() { //catch or finally
        if err := recover(); err != nil { //catch
            fmt.Fprintf(os.Stderr, ""Exception: %v\n"", err)
            os.Exit(1)
        }
    }()

    file, err := os.Open(os.Args[1])
    if err != nil {
        fmt.Println(""Could not open file"")
    }

    fmt.Printf(""%s"", file)
}

",25025467
