,PostId,Body,ParentId
0,1743546,"GO introduces goroutines and channels. See language FAQ
",1743526
1,1744135,"Differences? Pretty much everything!


Concurrency and channels.
Interfaces.
Static typechecking.
...

",1743526
2,1748038,"My main reason for trying out go is the supposed ease of introducing concurrency into programs.  I think that will be the 'next big thing', as processor speeds will tail off, and increasingly multiple cores are available.  If you want to make use of multicore processors, you need to write your program so that it can run things concurrently.

I earlier looked at Erlang, but despite being used to Prolog I find it a bit strange still; it is so different from your 'average' programming language (of the C or Pascal family).  But its concurrency features are easy to use, once you get the hang of it.  With very little effort I was able to write a parallel parser, which does not use a stack, but spawns a new 'thread/process' every time there were multiple options.

So far go looks quite alright, despite some slight inconsistencies.  And it's also fast, which is a bonus.

So unless Cython also makes concurrency easy, I'd favour go...
",1743526
3,1749058,"Cython isn't really a language in the conventional sense. It is a preprocessor for building Python extensions that takes Python-like syntax (actually they strive for full Python compatibility) and produces C code (using the Python C API). Doing this they are able to include some special case optimisations, but the real benefits come when you add Cython specific static type information which is incorporated into the C code, bypassing the Python runtime for those operations and resulting in a high speed up. 

Go is a compiled programming language. The first thing that can be done in Go is producing an executable that doesn't include the Python runtime/start a Python interpreter - this is impossible in Cython. (May not be technically impossible - but there is really no point to use Cython if you are not working with Python). Since Cython just produces C most of your questions in the comment don't really apply - you can use any C debugger (although the fact that's a Python extension makes things a bit more complicated).
",1743526
4,1798578,"
Yes, shared state could be faster in this case.  But only if you can forgo the locks, and this is only doable if it's absolutely read-only.  if it's 'mostly read-only' then you need a lock (unless you manage to write lock-free structures, be warned that they're even trickier than locks), and then you'd be hard-pressed to make it perform as fast as a good message-passing architecture.
Yes, you could write a 'server process' to share it. With really lightweight processes, it's no more heavy than writing a small API to access the data.  Think like an object (in OOP sense) that 'owns' the data.  Splitting the data in chunks to enhance parallelism (called 'sharding' in DB circles) helps in big cases (or if the data is on slow storage).
Even if NUMA is getting mainstream, you still have more and more cores per NUMA cell.  And a big difference is that a message can be passed between just two cores, while a lock has to be flushed from cache on ALL cores, limiting it to the inter-cell bus latency (even slower than RAM access).  If anything, shared-state/locks is getting more and more unfeasible.


in short.... get used to message passing and server processes, it's all the rage.

Edit: revisiting this answer, I want to add about a phrase found on Go's documentation:


  share memory by communicating, don't communicate by sharing memory.


the idea is: when you have a block of memory shared between threads, the typical way to avoid concurrent access is to use a lock to arbitrate.  The Go style is to pass a message with the reference, a thread only accesses the memory when receiving the message.  It relies on some measure of programmer discipline; but results in very clean-looking code that can be easily proofread, so it's relatively easy to debug.

the advantage is that you don't have to copy big blocks of data on every message, and don't have to effectively flush down caches as on some lock implementations.  It's still somewhat early to say if the style leads to higher performance designs or not.  (specially since current Go runtime is somewhat naive on thread scheduling)
",1798455
5,1798930,"Most modern processors use variants of the MESI protocol. Because of the shared state, Passing read-only data between different threads is very cheap. Modified shared data is very expensive though, because all other caches that store this cache line must invalidate it.

So if you have read-only data, it is very cheap to share it between threads instead of copying with messages. If you have read-mostly data, it can be expensive to share between threads, partly because of the need to synchronize access, and partly because writes destroy the cache friendly behavior of the shared data.

Immutable data structures can be beneficial here. Instead of changing the actual data structure, you simply make a new one that shares most of the old data, but with the things changed that you need changed. Sharing a single version of it is cheap, since all the data is immutable, but you can still update to a new version efficiently.
",1798455
6,1801214,"One thing to realise is that the Erlang concurrency model does NOT really specify that the data in messages must be copied between processes, it states that sending messages is the only way to communicate and that there is no shared state. As all data is immutable, which is fundamental, then an implementation may very well not copy the data but just send a reference to it. Or may use a combination of both methods. As always, there is no best solution and there are trade-offs to be made when choosing how to do it.

The BEAM uses copying, except for large binaries where it sends a reference.
",1798455
7,1803219,"One solution that has not been presented here is master-slave replication. If you have a large data-structure, you can replicate changes to it out to all slaves that perform the update on their copy.

This is especially interesting if one wants to scale to several machines that don't even have the possibility to share memory without very artificial setups (mmap of a block device that read/write from a remote computer's memory?)

A variant of it is to have a transaction manager that one ask nicely to update the replicated data structure, and it will make sure that it serves one and only update-request concurrently. This is more of the mnesia model for master-master replication of mnesia table-data, which qualify as ""large data structure"".
",1798455
8,1804568,"In Erlang, all values are immutable - so there's no need to copy a message when it's sent between processes, as it cannot be modified anyway.

In Go, message passing is by convention - there's nothing to prevent you sending someone a pointer over a channel, then modifying the data pointed to, only convention, so once again there's no need to copy the message.
",1798455
9,1806674,"The problem at the moment is indeed that the locking and cache-line coherency might be as expensive as copying a simpler data structure (say a few hundert bytes). 

But most of the time a clever written new multithreaded algorithm that tries to eliminate  most of the locking will always be faster - and a lot faster with modern lock-free data structures. Especially when you have well designed cache systems like Sun's Niagara chip level multithreading.

If your system/problem is not easily broken down into few and simple data access then you have a problem. And not all problems can be solved by message passing. This is why there are still some Itanium based super computers sold because they have terabyte of shared RAM and upto 128 CPU's working on the same shared memory. They are a magnitude more expensive then a mainstream x86 cluster with the same cpu power but you don't need to break down your data.

But another reason not mentioned so far is that programs can became much easier to write and maintain when you use a multithreaded approch. And message passign and shared nothing makes it even more maintainable.

Erlang was for example never designed to make things faster but to use a large number of threads to structure complex data and event flows. 

I guess this was one of the main point in the design. In the web world of google you usually don't care about performance - as long as it can run in parallel in the cloud. And with message passing you ideally can just add more computers without changing the source code.
",1798455
10,1817627,"Usually message passing languages (this is especially easy in erlang, since it has immutable variables) optimise away the actual data copying between the processes (of course local processes only: you'll want to think your network distribution pattern wisely), so this isn't much an issue.
",1798455
11,1820363,"What is a large data structure?

One persons large is another persons small.

Last week I talked to two people - one person was making embedded devices he used the word
""large"" - I asked him what it meant - he say over 256 KBytes - later in the same week a
guy was talking about media distribution - he used the word ""large"" I asked him what he
meant - he thought for a bit and said ""won't fit on one machine"" say 20-100 TBytes

In Erlang terms ""large"" could mean ""won't fit into RAM"" - so with 4 GBytes of RAM
data structures > 100 MBytes might be considered large - copying a 500 MBytes data structure
might be a problem. Copying small data structures (say 

Really large data structures (i.e. ones that won't fit on one machine) have to be
copied and ""striped"" over several machines.

So I guess you have the following:

Small data structures are no problem - since they are small data processing times are
fast, copying is fast and so on (just because they are small)

Big data structures are a problem - because they don't fit on one machine - so copying is essential.
",1798455
12,1980849,"The other concurrent paradigm is STM, software transactional memory. Clojure's ref's are getting a lot of attention.  Tim Bray has a good series exploring erlang and clojure's concurrent mechanisms

http://www.tbray.org/ongoing/When/200x/2009/09/27/Concur-dot-next

http://www.tbray.org/ongoing/When/200x/2009/12/01/Clojure-Theses
",1798455
13,2893994,"If you install web.go through goinstall, you need to do:

import ""github.com/hoisie/web.go""


Goinstall is still an experimental system. It would be nice if you didn't have to include the full path.
",2893772
14,3125521,"In most cases they're the same as C arrays, but the compiler/interpreter hides the pointer from you. This is mainly because then the array can be relocated in memory in a totally transparent way, and so such arrays appear to have an ability to be resized.
On the other hand it is safer, because without a possibility to move the pointers you cannot make a leak.
",3125381
15,3129417,"Read The Go Programming Language Specification. In particular, the section on Struct types. The Go term to describe what you are looking for is an anonymous field.


  Such a[n] [anonymous] field type must
  be specified as a type name T or as a
  pointer to a type name *T, and T
  itself may not be a pointer type.


int is a type name. []int is neither a type name nor a pointer to a type name.
",3129324
16,3129440,"No, the type of an anonymous field must be a type name or a pointer to a type name. You could declare a new type name that is the same as an array type, and then it would work, but it wouldn't be exactly the same.
",3129324
17,3516388,"You're probably looking for a map.
",3516357
18,3516402,"The map type. http://golang.org/doc/effective_go.html#maps

There is some difference from python in that the keys have to be typed, so you can't mix numeric and string keys (for some reason I forgot you can), but they're pretty easy to use.

dict := make(map[string]string)
dict[""user""] = ""so_user""
dict[""pass""] = ""l33t_pass1""

",3516357
19,3536318,"To expand a little on answers already given:

A Go map is a typed hash map data structure. A map's type signature is of the form map[keyType]valueType where keyType and valueType are the types of the keys and values respectively.

To initialize a map, you must use the make function:

m := make(map[string]int)


An uninitialized map is equal to nil, and if read from or written a panic will occur at runtime.

The syntax for storing values is much the same as doing so with arrays or slices:

m[""Alice""] = 21
m[""Bob""] = 17


Similarly, retrieving values from a map is done like so:

a := m[""Alice""]
b := m[""Bob""]


You can use the range keyword to iterate over a map with a for loop:

for k, v := range m {
    fmt.Println(k, v)
}


This code will print:

Alice 21
Bob 17


Retrieving a value for a key that is not in the map will return the value type's zero value:

c := m[""Charlie""]
// c == 0


By reading multiple values from a map, you can test for a key's presence. The second value will be a boolean indicating the key's presence:

a, ok := m[""Alice""]
// a == 21, ok == true
c, ok := m[""Charlie""]
// c == 0, ok == false


To remove a key/value entry from a map, you flip it around and assign false as the second value:

m[""Bob""] = 0, false
b, ok := m[""Bob""]
// b == 0, ok == false


You can store arbitrary types in a map by using the empty interface type interface{}:

n := make(map[string]interface{})
n[""One""] = 1
n[""Two""] = ""Two""


The only proviso is that when retrieving those values you must perform a type assertion to use them in their original form:

a := n[""One""].(int)
b := n[""Two""].(string)


You can use a type switch to determine the types of the values you're pulling out, and deal with them appropriately:

for k, v := range n {
    switch u := v.(type) {
        case int:
            fmt.Printf(""Key %q is an int with the value %v.\n"", k, u)
        case string:
            fmt.Printf(""Key %q is a string with the value %q.\n"", k, u)
    }
}


Inside each of those case blocks, u will be of the type specified in the case statement; no explicit type assertion is necessary.

This code will print:

Key ""One"" is an int with the value 1.
Key ""Two"" is a string with the value ""Two"".


The key can be of any type for which the equality operator is defined, such as integers, floats, strings, and pointers. Interface types can also be used, as long as the underlying type supports equality. (Structs, arrays and slices cannot be used as map keys, because equality is not defined on those types.)

For example, the map o can take keys of any of the above types:

o := make(map[interface{}]int)
o[1] = 1
o[""Two""] = 2


And that's maps in a nutshell.
",3516357
20,3587284,"Arrays in Go are also values in that they are passed as values to functions(in the same way ints,strings,floats etc.)
Which requires copying the whole array for each function call.

This can be very slow for a large array, which is why in most cases it's usually better to use slices
",3125381
21,3779421,"gevent is a concurrent library that uses Cython at its core. It seems to be pretty fast: http://nichol.as/asynchronous-servers-in-python
",1743526
22,3864079,"I use pprof package, and Google perftools.
",3863972
23,3866546,"If you use the gccgo compiler instead of the 6g compiler, you'd probably be able to use the normal GNU tools, i.e. gprof.

I haven't actually done it with gprof, but I at least know that it works for gdb.
",3863972
24,4279644,"For example,

package main

import (
    ""flag""
    ""fmt""
    ""os""
    ""strconv""
)

func main() {
    flag.Parse()
    s := flag.Arg(0)
    // string to int
    i, err := strconv.Atoi(s)
    if err != nil {
        // handle error
        fmt.Println(err)
        os.Exit(2)
    }
    fmt.Println(s, i)
}

",4278430
