,PostId,Title,Body,AnswerCount,AcceptedAnswerId
0,1743526,Differences between Go and Cython,"Today a great friend of mine asked me what are the main differences between the newest Go language and Cython, which is a set of C-extensions for Python. I don't have much knowledge on Python, can anyone tell me why Go is better/worse than Cython?
",6,1749058.0
1,1798455,How does shared memory vs message passing handle large data structures?,"In looking at Go and Erlang's approach to concurrency, I noticed that they both rely on message passing.

This approach obviously alleviates the need for complex locks because there is no shared state.

However, consider the case of many clients wanting parallel read-only access to a single large data structure in memory -- like a suffix array.

My questions:


Will using shared state be faster and use less memory than message passing, as locks will mostly be unnecessary because the data is read-only, and only needs to exist in a single location?
How would this problem be approached in a message passing context? Would there be a single process with access to the data structure and clients would simply need to sequentially request data from it? Or, if possible, would the data be chunked to create several processes that hold chunks?
Given the architecture of modern CPUs & memory, is there much difference between the two solutions -- i.e., can shared memory be read in parallel by multiple cores -- meaning there is no hardware bottleneck that would otherwise make both implementations roughly perform the same?

",10,1798578.0
2,2893772,Import web.go error after using goinstall,"With halfdans advice, I was successfully able to use goinstall github.com/hoisie/web.go without any errors after installing git first. However, now when I try to compile the sample code given, go is not finding the web package. I get the error,

main.go:4: can't find import: web


On this code

package main

import (
    ""web""
)

func hello(val string) string { return ""hello "" + val }

func main() {
    web.Get(""/(.*)"", hello)
    web.Run(""0.0.0.0:9999"")
}


Is there something special I need to do in order for it to recognize the package? I found the package source at $GOROOT/src/pkg/github.com/hoisie/web.go/web. I tried github.com/hoisie/web.go/web as the import and it still did not like that.
",2,2893994.0
3,3125381,"What is a ""value"" array?","In C, the idea of an array is very straightforward—simply a pointer to the first element in a row of elements in memory, which can be accessed via pointer arithmetic/ the standard array[i] syntax.

However, in languages like Google Go, ""arrays are values"", not pointers. What does that mean? How is it implemented?
",3,3125521.0
4,3129324,Unnamed arrays in structs in Go,"So I can have

struct {
    int
    x []int
}


However,

struct {
    int
    []int
}


will result in a syntax error: unexpected [, expecting }. Is there a way of having unnamed arrays in structs in Go? If so, what's the correct syntax?
",2,3129440.0
5,3516357,Are there any go libraries that provide associative array capability?,"I'm looking for a go language capability similar to the ""dictionary"" in python to facilitate the conversion of some python code.

EDIT: Maps worked quite well for this de-dupe application.  I was able to condense 1.3e6 duplicated items down to 2.5e5 unique items using a map with a 16 byte string index in just a few seconds.  The map-related code was simple so I've included it below.  Worth noting that pre-allocation of map with 1.3e6 elements sped it up by only a few percent:

var m = make(map[string]int, 1300000) // map with initial space for 1.3e6 elements

ct, ok := m[ax_hash]
if ok {
    m[ax_hash] = ct + 1
} else {
    m[ax_hash] = 1
}

",3,3516402.0
6,3863972,Is there a Go profiler?,"I played around with Go a bit shortly after it came out. There wasn't a profiler then; is there one now?
",2,3864079.0
7,4278430,Convert string to integer type in Go?,"I'm trying to convert a string returned from flag.Arg(n) to an int. What is the idiomatic way to do this in Go?
",2,4279644.0
8,5367961,Casting from one pointer to pointer type to another in Golang error,"Can anyone tell my why this wouldn't compile?

package main

type myint int
func set(a **myint) {
    i := myint(5)
    *a = &i 
}

func main() {
    var k *int
    set( (**myint)(&k) ) // cannot convert &k (type **int) to type **myint
    print( *k )
}


My reasoning so far is this. All types in Golang are different, but it allows to convert from one type to another with C-like cast syntax as long as underlying types are identical. In my example, converting 'int' to 'myint' is not a problem. '*int' to '*myint' isn't either. It's when you have pointer to pointer problems arise. I've been stuck on this for the second day now. Any help is appreciated.
",2,5372575.0
9,6000524,Is there any SFTP or SSH library for Go?,"I can't seem to find any... it's a bit sad for a language positioned as networking-oriented one.
",2,9393711.0
10,6051088,Initialize custom int type in Go,"In Go it is valid to create a type:

type Num int


but how can one then initialize that type? make(Num, 2) does not seem to work.
",1,6051270.0
11,6118919,Compile Go file in Windows?,"I am trying to learn Go and have installed Go MinGW but I cannot find out how to actually compile a .go file ANYWHERE.  This is the program linked directly from the Go wiki for Windows Support, but all the tutorials talk about using 6g and gccgo etc. to compile and none of those work from my windows machine.
",1,6119041.0
12,6125345,How would I implement one-to-many on App Engine in Go?,"How would I implement one-to-many on Google App Engine in the Go programming language?
For example, if I have the structs below, how would I store the association of many Votes to one Comment?  Would I use an array (slice) of keys to Votes in the Comment struct, or one key to the Comment from the Vote struct?

type Comment struct {
    Author  string
    Content string
    Date    datastore.Time
}

type Vote struct {
    User string
    Score int
}

",3,6192309.0
13,6163096,"""unexpected R_X86_64_64 relocation for dynamic symbol"" when using Cgo","I am trying to create binding for a C library using Cgo. I have package which uses Cgo to import the library and make some calls to it. It compiles and installs fine. But when trying to use that package from a Go program, I get the the error ""unexpected R_X86_64_64 relocation for dynamic symbol"" when linking.

Any ideas?
",3,
14,6384824,"in golang, reflect pkg, 8g error ""undefined: reflect.NewValue""","little confused with reflect pkg

all of the examples us reflect.NewValue() to get the reflect.Value of a var, but 


func NewValue is not documented in http://golang.org/pkg/reflect/
the 8g compiler returns ""undefined: reflect.NewValue""


is NewValue() still supported? if not, how does one get reflect.Value from a var?



the Typeof and NewValue functions have been renamed to TypeOf and ValueOf.
",1,6385066.0
15,7309355,How can I quickly scale and sharpen an image in Go?,"I'm currently porting a pretty basic gallery application from PHP to Go. This application features automatic generation of thumbnails and middle-sized version of every image.

In PHP I used GD, because it ships with it and worked pretty well. (Code is at the end of the question). I thought I could just replicate that in Go and found go-gd from https://github.com/bolknote/go-gd (again, code is at the end). It works, but it is roughly 10 times slower (measured using time wget $URL). The PHP implementation takes about 1 second for generating a 1024x768 version from a 10 MP-image, while the Go-Code takes almost 10 seconds.

Is there any way to speed this up or any other image-processing libary for Go, which implements scaling and convolution while being reasonably fast?

PHP-Code

public function saveThumb($outName, $options) {
    $this->img = imagecreatefromjpeg($filename);
    if (!is_dir(dirname($outName))) {
        mkdir(dirname($outName), 0777, true);
    }

    $width = imagesx($this->img);
    $height = imagesy($this->img);

    if ($options[""keep_aspect""]) {
        $factor = min($options[""size_x""]/$width, $options[""size_y""]/$height);
        $new_width = round($factor*$width);
        $new_height = round($factor*$height);
    } else {
        $new_width  = $options[""size_x""];
        $new_height = $options[""size_y""];
    }

    // create a new temporary image
    $tmp_img = imagecreatetruecolor($new_width, $new_height);

    // copy and resize old image into new image
    imagecopyresampled($tmp_img, $this->img, 0, 0, 0, 0, $new_width, $new_height, $width, $height);

    if ($options[""sharpen""]) {
        // define the sharpen matrix
        $sharpen = array(
            array(-1, -1.7, -1),
            array(-1.7, 20, -1.7),
            array(-1, -1.7, -1) 
        );

        // calculate the sharpen divisor
        $divisor = array_sum(array_map('array_sum', $sharpen));

        // apply the matrix
        imageconvolution($tmp_img, $sharpen, $divisor, 0);
    }

    // save thumbnail into a file
    imagejpeg($tmp_img, $outName);     
}


Go-Code

func (entry *entry) GenerateThumb(options ImageType, overwrite bool) os.Error {
    targetFilename := entry.Filename(imageType)
    sourceFilename := entry.Filename(IMAGE_TYPE_FULL)
    targetDirname, _ := filepath.Split(targetFilename)
    os.MkdirAll(targetDirname, 0777)

    targetFi, errT := os.Stat(targetFilename)
    sourceFi, errS := os.Stat(sourceFilename)

    image := gd.CreateFromJpeg(sourceFilename)
    if image == nil {
        return os.NewError(""Image could not be loaded"")
    }

    var targetX, targetY int = 0, 0

    if options.KeepAspect {
        factor := math.Fmin(float64(options.SizeX)/float64(image.Sx()), float64(options.SizeY)/float64(image.Sy()))
        targetX = int(factor*float64(image.Sx()))
        targetY = int(factor*float64(image.Sy()))
    } else {
        targetX = options.SizeX
        targetY = options.SizeY
    }
    tmpImage := gd.CreateTrueColor(targetX, targetY)
    image.CopyResampled(tmpImage, 0, 0, 0, 0, tmpImage.Sx(), tmpImage.Sy(), image.Sx(), image.Sy())

    if options.Sharpen {
        sharpenMatrix := [3][3]float32{
        {-1, -1.7, -1},
        {-1.7, 20, -1.7},
        {-1, -1.7, -1} }
        tmpImage.Convolution(sharpenMatrix, 9.2, 0)
    }
    tmpImage.Jpeg(targetFilename, 90)

    return nil
}


EDIT: Go-Code using resize.go (see answer)

func (entry *entry) GenerateThumb(options ImageType, overwrite bool) os.Error {
    targetFilename := entry.Filename(imageType)
    sourceFilename := entry.Filename(IMAGE_TYPE_FULL)
    targetDirname, _ := filepath.Split(targetFilename)
    os.MkdirAll(targetDirname, 0777)

    targetFi, errT := os.Stat(targetFilename)
    sourceFi, errS := os.Stat(sourceFilename)

    if errT == nil && errS == nil {
        if targetFi.Mtime_ns > sourceFi.Mtime_ns && !overwrite {
            // already up-to-date, nothing to do
            return nil
        }
    }

    log.Printf(""Generate(\""%v\"", %v)\n"", imageType, overwrite)

    inFile, fErr := os.Open(sourceFilename)
    if fErr != nil {
        log.Fatal(fErr)
    }
    defer inFile.Close()

    img, _, err := image.Decode(inFile)
    if err != nil {
        log.Fatal(err)
    }

    var targetX, targetY int
    if options.KeepAspect {
        factor := math.Fmin(float64(options.SizeX)/float64(img.Bounds().Max.X), float64(options.SizeY)/float64(img.Bounds().Max.Y))
        targetX = int(factor*float64(img.Bounds().Max.X))
        targetY = int(factor*float64(img.Bounds().Max.Y))
    } else {
        targetX = curType.SizeX
        targetY = curType.SizeY
    }
    newImg := resize.Resample(img, image.Rect(0, 0, img.Bounds().Max.X, img.Bounds().Max.Y), targetX, targetY)

    var outFile *os.File
    outFile, fErr = os.Create(targetFilename)
    if fErr != nil {
        log.Fatal(fErr)
    }
    defer outFile.Close()

    err = jpeg.Encode(outFile, newImg, &jpeg.Options{90})
    if err != nil {
        log.Fatal(err)
    }
    return nil
}

",3,7314110.0
16,7535803,How do you add an external package to a GoClipse project for Google App Engine?,"I've compiled Goauth so that I can use OAuth in my Go Google App Engine project.  Where do I put the goauth.a file so that I can both use it in the project, and have it available when deploying to the GAE servers?  I can get it working locally if I put it in a subfolder of $GOROOT/pkg, but then it can't be found when compiling at deployment time.

GoClipse sets up a project with lots of folders, I'm not really sure what their purpose is,  where should I put goauth.a and how do I import it?
",1,7552319.0
17,7599476,What is the correct way to install Google Go and App Engine SDK?,"I've been playing with Go and GAE using GoClipse for a bit now on my Mac (since they won't run on Windows). Recently I noticed that when I goinstall a package from github it had some problems working. I figured I'd reinstall the whole thing and set it up properly. Go installed nicely, but when it came to integrating the GAE SDK it took me a couple hours of searching and came up with only this article:
http://code.google.com/p/goclipse/wiki/GoClipseAndTheGoogleAppEngine
But since it tell you to move files from the go/scr folder (where goinstall installs packages), I reckon it is not the correct way to set everything up.

Can anyone give me a clear, easy to follow step-by-step guide on how to install both Go and GAE SDK on a Mac?
",1,7613998.0
