,post_id,text,tokens
0,1743546,"GO introduces goroutines and channels. See language FAQ
","['GO', 'introduces', 'goroutines', 'and', 'channels.', 'See', 'language', 'FAQ']"
1,1744135,"Differences? Pretty much everything!


Concurrency and channels.
Interfaces.
Static typechecking.
...

","['Differences?', 'Pretty', 'much', 'everything!', 'Concurrency', 'and', 'channels.', 'Interfaces.', 'Static', 'typechecking.', '...']"
2,1748038,"My main reason for trying out go is the supposed ease of introducing concurrency into programs.  I think that will be the 'next big thing', as processor speeds will tail off, and increasingly multiple cores are available.  If you want to make use of multicore processors, you need to write your program so that it can run things concurrently.

I earlier looked at Erlang, but despite being used to Prolog I find it a bit strange still; it is so different from your 'average' programming language (of the C or Pascal family).  But its concurrency features are easy to use, once you get the hang of it.  With very little effort I was able to write a parallel parser, which does not use a stack, but spawns a new 'thread/process' every time there were multiple options.

So far go looks quite alright, despite some slight inconsistencies.  And it's also fast, which is a bonus.

So unless Cython also makes concurrency easy, I'd favour go...
","['My', 'main', 'reason', 'for', 'trying', 'out', 'go', 'is', 'the', 'supposed', 'ease', 'of', 'introducing', 'concurrency', 'into', 'programs.', 'I', 'think', 'that', 'will', 'be', 'the', ""'next"", 'big', ""thing',"", 'as', 'processor', 'speeds', 'will', 'tail', 'off,', 'and', 'increasingly', 'multiple', 'cores', 'are', 'available.', 'If', 'you', 'want', 'to', 'make', 'use', 'of', 'multicore', 'processors,', 'you', 'need', 'to', 'write', 'your', 'program', 'so', 'that', 'it', 'can', 'run', 'things', 'concurrently.', 'I', 'earlier', 'looked', 'at', 'Erlang,', 'but', 'despite', 'being', 'used', 'to', 'Prolog', 'I', 'find', 'it', 'a', 'bit', 'strange', 'still;', 'it', 'is', 'so', 'different', 'from', 'your', ""'average'"", 'programming', 'language', '(of', 'the', 'C', 'or', 'Pascal', 'family).', 'But', 'its', 'concurrency', 'features', 'are', 'easy', 'to', 'use,', 'once', 'you', 'get', 'the', 'hang', 'of', 'it.', 'With', 'very', 'little', 'effort', 'I', 'was', 'able', 'to', 'write', 'a', 'parallel', 'parser,', 'which', 'does', 'not', 'use', 'a', 'stack,', 'but', 'spawns', 'a', 'new', ""'thread/process'"", 'every', 'time', 'there', 'were', 'multiple', 'options.', 'So', 'far', 'go', 'looks', 'quite', 'alright,', 'despite', 'some', 'slight', 'inconsistencies.', 'And', ""it's"", 'also', 'fast,', 'which', 'is', 'a', 'bonus.', 'So', 'unless', 'Cython', 'also', 'makes', 'concurrency', 'easy,', ""I'd"", 'favour', 'go...']"
3,1749058,"Cython isn't really a language in the conventional sense. It is a preprocessor for building Python extensions that takes Python-like syntax (actually they strive for full Python compatibility) and produces C code (using the Python C API). Doing this they are able to include some special case optimisations, but the real benefits come when you add Cython specific static type information which is incorporated into the C code, bypassing the Python runtime for those operations and resulting in a high speed up. 

Go is a compiled programming language. The first thing that can be done in Go is producing an executable that doesn't include the Python runtime/start a Python interpreter - this is impossible in Cython. (May not be technically impossible - but there is really no point to use Cython if you are not working with Python). Since Cython just produces C most of your questions in the comment don't really apply - you can use any C debugger (although the fact that's a Python extension makes things a bit more complicated).
","['Cython', ""isn't"", 'really', 'a', 'language', 'in', 'the', 'conventional', 'sense.', 'It', 'is', 'a', 'preprocessor', 'for', 'building', 'Python', 'extensions', 'that', 'takes', 'Python-like', 'syntax', '(actually', 'they', 'strive', 'for', 'full', 'Python', 'compatibility)', 'and', 'produces', 'C', 'code', '(using', 'the', 'Python', 'C', 'API).', 'Doing', 'this', 'they', 'are', 'able', 'to', 'include', 'some', 'special', 'case', 'optimisations,', 'but', 'the', 'real', 'benefits', 'come', 'when', 'you', 'add', 'Cython', 'specific', 'static', 'type', 'information', 'which', 'is', 'incorporated', 'into', 'the', 'C', 'code,', 'bypassing', 'the', 'Python', 'runtime', 'for', 'those', 'operations', 'and', 'resulting', 'in', 'a', 'high', 'speed', 'up.', 'Go', 'is', 'a', 'compiled', 'programming', 'language.', 'The', 'first', 'thing', 'that', 'can', 'be', 'done', 'in', 'Go', 'is', 'producing', 'an', 'executable', 'that', ""doesn't"", 'include', 'the', 'Python', 'runtime/start', 'a', 'Python', 'interpreter', '-', 'this', 'is', 'impossible', 'in', 'Cython.', '(May', 'not', 'be', 'technically', 'impossible', '-', 'but', 'there', 'is', 'really', 'no', 'point', 'to', 'use', 'Cython', 'if', 'you', 'are', 'not', 'working', 'with', 'Python).', 'Since', 'Cython', 'just', 'produces', 'C', 'most', 'of', 'your', 'questions', 'in', 'the', 'comment', ""don't"", 'really', 'apply', '-', 'you', 'can', 'use', 'any', 'C', 'debugger', '(although', 'the', 'fact', ""that's"", 'a', 'Python', 'extension', 'makes', 'things', 'a', 'bit', 'more', 'complicated).']"
4,1798578,"
Yes, shared state could be faster in this case.  But only if you can forgo the locks, and this is only doable if it's absolutely read-only.  if it's 'mostly read-only' then you need a lock (unless you manage to write lock-free structures, be warned that they're even trickier than locks), and then you'd be hard-pressed to make it perform as fast as a good message-passing architecture.
Yes, you could write a 'server process' to share it. With really lightweight processes, it's no more heavy than writing a small API to access the data.  Think like an object (in OOP sense) that 'owns' the data.  Splitting the data in chunks to enhance parallelism (called 'sharding' in DB circles) helps in big cases (or if the data is on slow storage).
Even if NUMA is getting mainstream, you still have more and more cores per NUMA cell.  And a big difference is that a message can be passed between just two cores, while a lock has to be flushed from cache on ALL cores, limiting it to the inter-cell bus latency (even slower than RAM access).  If anything, shared-state/locks is getting more and more unfeasible.


in short.... get used to message passing and server processes, it's all the rage.

Edit: revisiting this answer, I want to add about a phrase found on Go's documentation:


  share memory by communicating, don't communicate by sharing memory.


the idea is: when you have a block of memory shared between threads, the typical way to avoid concurrent access is to use a lock to arbitrate.  The Go style is to pass a message with the reference, a thread only accesses the memory when receiving the message.  It relies on some measure of programmer discipline; but results in very clean-looking code that can be easily proofread, so it's relatively easy to debug.

the advantage is that you don't have to copy big blocks of data on every message, and don't have to effectively flush down caches as on some lock implementations.  It's still somewhat early to say if the style leads to higher performance designs or not.  (specially since current Go runtime is somewhat naive on thread scheduling)
","['Yes,', 'shared', 'state', 'could', 'be', 'faster', 'in', 'this', 'case.', 'But', 'only', 'if', 'you', 'can', 'forgo', 'the', 'locks,', 'and', 'this', 'is', 'only', 'doable', 'if', ""it's"", 'absolutely', 'read-only.', 'if', ""it's"", ""'mostly"", ""read-only'"", 'then', 'you', 'need', 'a', 'lock', '(unless', 'you', 'manage', 'to', 'write', 'lock-free', 'structures,', 'be', 'warned', 'that', ""they're"", 'even', 'trickier', 'than', 'locks),', 'and', 'then', ""you'd"", 'be', 'hard-pressed', 'to', 'make', 'it', 'perform', 'as', 'fast', 'as', 'a', 'good', 'message-passing', 'architecture.', 'Yes,', 'you', 'could', 'write', 'a', ""'server"", ""process'"", 'to', 'share', 'it.', 'With', 'really', 'lightweight', 'processes,', ""it's"", 'no', 'more', 'heavy', 'than', 'writing', 'a', 'small', 'API', 'to', 'access', 'the', 'data.', 'Think', 'like', 'an', 'object', '(in', 'OOP', 'sense)', 'that', ""'owns'"", 'the', 'data.', 'Splitting', 'the', 'data', 'in', 'chunks', 'to', 'enhance', 'parallelism', '(called', ""'sharding'"", 'in', 'DB', 'circles)', 'helps', 'in', 'big', 'cases', '(or', 'if', 'the', 'data', 'is', 'on', 'slow', 'storage).', 'Even', 'if', 'NUMA', 'is', 'getting', 'mainstream,', 'you', 'still', 'have', 'more', 'and', 'more', 'cores', 'per', 'NUMA', 'cell.', 'And', 'a', 'big', 'difference', 'is', 'that', 'a', 'message', 'can', 'be', 'passed', 'between', 'just', 'two', 'cores,', 'while', 'a', 'lock', 'has', 'to', 'be', 'flushed', 'from', 'cache', 'on', 'ALL', 'cores,', 'limiting', 'it', 'to', 'the', 'inter-cell', 'bus', 'latency', '(even', 'slower', 'than', 'RAM', 'access).', 'If', 'anything,', 'shared-state/locks', 'is', 'getting', 'more', 'and', 'more', 'unfeasible.', 'in', 'short....', 'get', 'used', 'to', 'message', 'passing', 'and', 'server', 'processes,', ""it's"", 'all', 'the', 'rage.', 'Edit:', 'revisiting', 'this', 'answer,', 'I', 'want', 'to', 'add', 'about', 'a', 'phrase', 'found', 'on', ""Go's"", 'documentation:', 'share', 'memory', 'by', 'communicating,', ""don't"", 'communicate', 'by', 'sharing', 'memory.', 'the', 'idea', 'is:', 'when', 'you', 'have', 'a', 'block', 'of', 'memory', 'shared', 'between', 'threads,', 'the', 'typical', 'way', 'to', 'avoid', 'concurrent', 'access', 'is', 'to', 'use', 'a', 'lock', 'to', 'arbitrate.', 'The', 'Go', 'style', 'is', 'to', 'pass', 'a', 'message', 'with', 'the', 'reference,', 'a', 'thread', 'only', 'accesses', 'the', 'memory', 'when', 'receiving', 'the', 'message.', 'It', 'relies', 'on', 'some', 'measure', 'of', 'programmer', 'discipline;', 'but', 'results', 'in', 'very', 'clean-looking', 'code', 'that', 'can', 'be', 'easily', 'proofread,', 'so', ""it's"", 'relatively', 'easy', 'to', 'debug.', 'the', 'advantage', 'is', 'that', 'you', ""don't"", 'have', 'to', 'copy', 'big', 'blocks', 'of', 'data', 'on', 'every', 'message,', 'and', ""don't"", 'have', 'to', 'effectively', 'flush', 'down', 'caches', 'as', 'on', 'some', 'lock', 'implementations.', ""It's"", 'still', 'somewhat', 'early', 'to', 'say', 'if', 'the', 'style', 'leads', 'to', 'higher', 'performance', 'designs', 'or', 'not.', '(specially', 'since', 'current', 'Go', 'runtime', 'is', 'somewhat', 'naive', 'on', 'thread', 'scheduling)']"
5,1798930,"Most modern processors use variants of the MESI protocol. Because of the shared state, Passing read-only data between different threads is very cheap. Modified shared data is very expensive though, because all other caches that store this cache line must invalidate it.

So if you have read-only data, it is very cheap to share it between threads instead of copying with messages. If you have read-mostly data, it can be expensive to share between threads, partly because of the need to synchronize access, and partly because writes destroy the cache friendly behavior of the shared data.

Immutable data structures can be beneficial here. Instead of changing the actual data structure, you simply make a new one that shares most of the old data, but with the things changed that you need changed. Sharing a single version of it is cheap, since all the data is immutable, but you can still update to a new version efficiently.
","['Most', 'modern', 'processors', 'use', 'variants', 'of', 'the', 'MESI', 'protocol.', 'Because', 'of', 'the', 'shared', 'state,', 'Passing', 'read-only', 'data', 'between', 'different', 'threads', 'is', 'very', 'cheap.', 'Modified', 'shared', 'data', 'is', 'very', 'expensive', 'though,', 'because', 'all', 'other', 'caches', 'that', 'store', 'this', 'cache', 'line', 'must', 'invalidate', 'it.', 'So', 'if', 'you', 'have', 'read-only', 'data,', 'it', 'is', 'very', 'cheap', 'to', 'share', 'it', 'between', 'threads', 'instead', 'of', 'copying', 'with', 'messages.', 'If', 'you', 'have', 'read-mostly', 'data,', 'it', 'can', 'be', 'expensive', 'to', 'share', 'between', 'threads,', 'partly', 'because', 'of', 'the', 'need', 'to', 'synchronize', 'access,', 'and', 'partly', 'because', 'writes', 'destroy', 'the', 'cache', 'friendly', 'behavior', 'of', 'the', 'shared', 'data.', 'Immutable', 'data', 'structures', 'can', 'be', 'beneficial', 'here.', 'Instead', 'of', 'changing', 'the', 'actual', 'data', 'structure,', 'you', 'simply', 'make', 'a', 'new', 'one', 'that', 'shares', 'most', 'of', 'the', 'old', 'data,', 'but', 'with', 'the', 'things', 'changed', 'that', 'you', 'need', 'changed.', 'Sharing', 'a', 'single', 'version', 'of', 'it', 'is', 'cheap,', 'since', 'all', 'the', 'data', 'is', 'immutable,', 'but', 'you', 'can', 'still', 'update', 'to', 'a', 'new', 'version', 'efficiently.']"
6,1801214,"One thing to realise is that the Erlang concurrency model does NOT really specify that the data in messages must be copied between processes, it states that sending messages is the only way to communicate and that there is no shared state. As all data is immutable, which is fundamental, then an implementation may very well not copy the data but just send a reference to it. Or may use a combination of both methods. As always, there is no best solution and there are trade-offs to be made when choosing how to do it.

The BEAM uses copying, except for large binaries where it sends a reference.
","['One', 'thing', 'to', 'realise', 'is', 'that', 'the', 'Erlang', 'concurrency', 'model', 'does', 'NOT', 'really', 'specify', 'that', 'the', 'data', 'in', 'messages', 'must', 'be', 'copied', 'between', 'processes,', 'it', 'states', 'that', 'sending', 'messages', 'is', 'the', 'only', 'way', 'to', 'communicate', 'and', 'that', 'there', 'is', 'no', 'shared', 'state.', 'As', 'all', 'data', 'is', 'immutable,', 'which', 'is', 'fundamental,', 'then', 'an', 'implementation', 'may', 'very', 'well', 'not', 'copy', 'the', 'data', 'but', 'just', 'send', 'a', 'reference', 'to', 'it.', 'Or', 'may', 'use', 'a', 'combination', 'of', 'both', 'methods.', 'As', 'always,', 'there', 'is', 'no', 'best', 'solution', 'and', 'there', 'are', 'trade-offs', 'to', 'be', 'made', 'when', 'choosing', 'how', 'to', 'do', 'it.', 'The', 'BEAM', 'uses', 'copying,', 'except', 'for', 'large', 'binaries', 'where', 'it', 'sends', 'a', 'reference.']"
7,1803219,"One solution that has not been presented here is master-slave replication. If you have a large data-structure, you can replicate changes to it out to all slaves that perform the update on their copy.

This is especially interesting if one wants to scale to several machines that don't even have the possibility to share memory without very artificial setups (mmap of a block device that read/write from a remote computer's memory?)

A variant of it is to have a transaction manager that one ask nicely to update the replicated data structure, and it will make sure that it serves one and only update-request concurrently. This is more of the mnesia model for master-master replication of mnesia table-data, which qualify as ""large data structure"".
","['One', 'solution', 'that', 'has', 'not', 'been', 'presented', 'here', 'is', 'master-slave', 'replication.', 'If', 'you', 'have', 'a', 'large', 'data-structure,', 'you', 'can', 'replicate', 'changes', 'to', 'it', 'out', 'to', 'all', 'slaves', 'that', 'perform', 'the', 'update', 'on', 'their', 'copy.', 'This', 'is', 'especially', 'interesting', 'if', 'one', 'wants', 'to', 'scale', 'to', 'several', 'machines', 'that', ""don't"", 'even', 'have', 'the', 'possibility', 'to', 'share', 'memory', 'without', 'very', 'artificial', 'setups', '(mmap', 'of', 'a', 'block', 'device', 'that', 'read/write', 'from', 'a', 'remote', ""computer's"", 'memory?)', 'A', 'variant', 'of', 'it', 'is', 'to', 'have', 'a', 'transaction', 'manager', 'that', 'one', 'ask', 'nicely', 'to', 'update', 'the', 'replicated', 'data', 'structure,', 'and', 'it', 'will', 'make', 'sure', 'that', 'it', 'serves', 'one', 'and', 'only', 'update-request', 'concurrently.', 'This', 'is', 'more', 'of', 'the', 'mnesia', 'model', 'for', 'master-master', 'replication', 'of', 'mnesia', 'table-data,', 'which', 'qualify', 'as', '""large', 'data', 'structure"".']"
8,1804568,"In Erlang, all values are immutable - so there's no need to copy a message when it's sent between processes, as it cannot be modified anyway.

In Go, message passing is by convention - there's nothing to prevent you sending someone a pointer over a channel, then modifying the data pointed to, only convention, so once again there's no need to copy the message.
","['In', 'Erlang,', 'all', 'values', 'are', 'immutable', '-', 'so', ""there's"", 'no', 'need', 'to', 'copy', 'a', 'message', 'when', ""it's"", 'sent', 'between', 'processes,', 'as', 'it', 'cannot', 'be', 'modified', 'anyway.', 'In', 'Go,', 'message', 'passing', 'is', 'by', 'convention', '-', ""there's"", 'nothing', 'to', 'prevent', 'you', 'sending', 'someone', 'a', 'pointer', 'over', 'a', 'channel,', 'then', 'modifying', 'the', 'data', 'pointed', 'to,', 'only', 'convention,', 'so', 'once', 'again', ""there's"", 'no', 'need', 'to', 'copy', 'the', 'message.']"
9,1806674,"The problem at the moment is indeed that the locking and cache-line coherency might be as expensive as copying a simpler data structure (say a few hundert bytes). 

But most of the time a clever written new multithreaded algorithm that tries to eliminate  most of the locking will always be faster - and a lot faster with modern lock-free data structures. Especially when you have well designed cache systems like Sun's Niagara chip level multithreading.

If your system/problem is not easily broken down into few and simple data access then you have a problem. And not all problems can be solved by message passing. This is why there are still some Itanium based super computers sold because they have terabyte of shared RAM and upto 128 CPU's working on the same shared memory. They are a magnitude more expensive then a mainstream x86 cluster with the same cpu power but you don't need to break down your data.

But another reason not mentioned so far is that programs can became much easier to write and maintain when you use a multithreaded approch. And message passign and shared nothing makes it even more maintainable.

Erlang was for example never designed to make things faster but to use a large number of threads to structure complex data and event flows. 

I guess this was one of the main point in the design. In the web world of google you usually don't care about performance - as long as it can run in parallel in the cloud. And with message passing you ideally can just add more computers without changing the source code.
","['The', 'problem', 'at', 'the', 'moment', 'is', 'indeed', 'that', 'the', 'locking', 'and', 'cache-line', 'coherency', 'might', 'be', 'as', 'expensive', 'as', 'copying', 'a', 'simpler', 'data', 'structure', '(say', 'a', 'few', 'hundert', 'bytes).', 'But', 'most', 'of', 'the', 'time', 'a', 'clever', 'written', 'new', 'multithreaded', 'algorithm', 'that', 'tries', 'to', 'eliminate', 'most', 'of', 'the', 'locking', 'will', 'always', 'be', 'faster', '-', 'and', 'a', 'lot', 'faster', 'with', 'modern', 'lock-free', 'data', 'structures.', 'Especially', 'when', 'you', 'have', 'well', 'designed', 'cache', 'systems', 'like', ""Sun's"", 'Niagara', 'chip', 'level', 'multithreading.', 'If', 'your', 'system/problem', 'is', 'not', 'easily', 'broken', 'down', 'into', 'few', 'and', 'simple', 'data', 'access', 'then', 'you', 'have', 'a', 'problem.', 'And', 'not', 'all', 'problems', 'can', 'be', 'solved', 'by', 'message', 'passing.', 'This', 'is', 'why', 'there', 'are', 'still', 'some', 'Itanium', 'based', 'super', 'computers', 'sold', 'because', 'they', 'have', 'terabyte', 'of', 'shared', 'RAM', 'and', 'upto', '128', ""CPU's"", 'working', 'on', 'the', 'same', 'shared', 'memory.', 'They', 'are', 'a', 'magnitude', 'more', 'expensive', 'then', 'a', 'mainstream', 'x86', 'cluster', 'with', 'the', 'same', 'cpu', 'power', 'but', 'you', ""don't"", 'need', 'to', 'break', 'down', 'your', 'data.', 'But', 'another', 'reason', 'not', 'mentioned', 'so', 'far', 'is', 'that', 'programs', 'can', 'became', 'much', 'easier', 'to', 'write', 'and', 'maintain', 'when', 'you', 'use', 'a', 'multithreaded', 'approch.', 'And', 'message', 'passign', 'and', 'shared', 'nothing', 'makes', 'it', 'even', 'more', 'maintainable.', 'Erlang', 'was', 'for', 'example', 'never', 'designed', 'to', 'make', 'things', 'faster', 'but', 'to', 'use', 'a', 'large', 'number', 'of', 'threads', 'to', 'structure', 'complex', 'data', 'and', 'event', 'flows.', 'I', 'guess', 'this', 'was', 'one', 'of', 'the', 'main', 'point', 'in', 'the', 'design.', 'In', 'the', 'web', 'world', 'of', 'google', 'you', 'usually', ""don't"", 'care', 'about', 'performance', '-', 'as', 'long', 'as', 'it', 'can', 'run', 'in', 'parallel', 'in', 'the', 'cloud.', 'And', 'with', 'message', 'passing', 'you', 'ideally', 'can', 'just', 'add', 'more', 'computers', 'without', 'changing', 'the', 'source', 'code.']"
