,text,token,annotation
0,"One solution is to make use of the html/template functionality, create all your pages to include the same  section like below.  I would however leave room to add tags to your head by leaving the  in each of your pages.

","['One', 'solution', 'is', 'to', 'make', 'use', 'of', 'the', 'html/template', 'functionality', ',', 'create', 'all', 'your', 'pages', 'to', 'include', 'the', 'same', 'section', 'like', 'below', '.', 'I', 'would', 'however', 'leave', 'room', 'to', 'add', 'tags', 'to', 'your', 'head', 'by', 'leaving', 'the', 'in', 'each', 'of', 'your', 'pages', '.']","['CD', 'NN', 'VBZ', 'TO', 'VB', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'VB', 'DT', 'PRP$', 'NNS', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'IN', '.', 'PRP', 'MD', 'RB', 'VB', 'NN', 'TO', 'VB', 'NNS', 'TO', 'PRP$', 'NN', 'IN', 'VBG', 'DT', 'IN', 'DT', 'IN', 'PRP$', 'NNS', '.']"
1,"{{define ""page_template""}}","['{{', 'define', '""page_template""', '}}']","['PUNCTUATION', 'IDENTIFIER', 'STRING_LITERAL', 'PUNCTUATION']"
2,    My page template,"['My', 'page', 'template']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER']"
3,"    {{template ""template_css""}}","['{{', 'template', '""template_css""', '}}']","['PUNCTUATION', 'IDENTIFIER', 'STRING_LITERAL', 'PUNCTUATION']"
4,    ,[],[]
5,    ,[],[]
6,... etc ...,"['...', 'etc', '...']","['PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION']"
7,"

And the template_css:

","['And', 'the', 'template_css', ':']","['CC', 'DT', 'NN', ':']"
8,"{{define ""template_css""}}","['{{', 'define', '""template_css""', '}}']","['PUNCTUATION', 'IDENTIFIER', 'STRING_LITERAL', 'PUNCTUATION']"
9,{{end}},"['{{', 'end', '}}']","['PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION']"
10,"

A snippet of code for the template parsing

","['A', 'snippet', 'of', 'code', 'for', 'the', 'template', 'parsing']","['DT', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', 'NN']"
11,"tp, err := template.ParseFiles(""page_template.html"", ""template_css.tp"")","['tp', ',', 'err', ':=', 'template.ParseFiles(""page_template.html"", ""template_css.tp"")']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'FUNCTION_CALL']"
12,"err = tp.ExecuteTemplate(buf, ""page_template"", templateParameters)","['err', '=', 'tp.ExecuteTemplate(buf, ""page_template"", templateParameters)']","['IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'FUNCTION_CALL']"
